id,n_authors,len_char_title,len_word_title,len_char_abstract,len_word_abstract,n_keywords,ref_len,ref_latest,num_recent_refs,contains_ml_keyword,avg_sent_len,abs_glove_avg,contains_sota,avg_ref_length,num_sections,contains_appendix,fig_tab_eqn_count,contains_table,contains_figure,contains_equation,iclr_references,label,ref_latest_depth
2017_HJIY0E9ge,3,70,12,823,121,1,22,2016,12,1,22.166666666666668,0.07344096899032593,0,250,13,0,25,1,1,1,0,Reject,2
2017_BkdpaH9ll,5,41,5,1076,149,2,30,2016,24,1,30.833333333333332,0.05123775824904442,1,48,14,0,10,1,1,1,2,Reject,2
2020_rkecl1rtwB,2,40,6,918,134,3,16,2019,12,1,25.666666666666668,0.05668310075998306,0,41,24,1,20,1,1,1,3,Accept,2
2019_HkgYmhR9KX,5,75,11,1761,266,4,36,2019,24,1,24.153846153846153,0.044546812772750854,0,48,16,1,26,1,1,1,0,Accept,1
2020_ryxW804FPH,3,68,8,750,112,4,31,2019,20,1,19.0,0.04746966436505318,1,33,10,1,17,1,1,1,2,Reject,2
2019_Hke4l2AcKQ,3,76,8,940,122,3,47,2018,37,1,36.25,0.05385904014110565,0,37,22,1,16,1,1,0,4,Accept,2
2018_HkL7n1-0b,4,25,2,738,105,5,30,2017,28,0,25.8,0.07656896114349365,0,323,12,0,5,1,1,1,4,Accept,2
2020_SklgTkBKDr,1,39,4,676,97,0,21,2019,8,0,21.8,0.05224630981683731,0,160,20,0,13,1,1,0,1,Reject,2
2017_Sk8J83oee,4,38,3,1002,145,1,19,2016,14,1,23.285714285714285,0.06068010628223419,0,40,15,1,36,1,1,1,0,Reject,2
2019_ryeYHi0ctQ,4,42,7,1156,166,4,41,2018,35,1,27.714285714285715,0.053698305040597916,1,390,14,0,21,1,1,0,1,Accept,2
2019_HygqJnCqtm,3,57,7,672,100,0,26,2018,21,0,16.142857142857142,0.04873248189687729,0,42,16,1,38,1,1,1,1,Reject,2
2018_Sy_MK3lAZ,16,111,14,834,131,4,36,2017,27,0,18.11111111111111,0.05794244632124901,0,22,14,0,12,1,1,1,4,Reject,2
2019_HJgeEh09KQ,4,52,6,385,46,5,31,2019,27,1,28.0,0.07223662734031677,1,32,8,0,8,1,1,0,1,Accept,1
